,s1_open,s2_open
525,7.923,12.507
526,7.955,12.462
527,7.659,12.3
528,7.771,12.228
529,7.819,12.192
530,7.763,11.905
531,7.643,12.057
532,7.514,11.932
533,7.474,11.5
534,7.274,11.096
535,7.41,11.033
536,7.274,11.824
537,7.057,11.806
538,6.825,11.815
539,6.961,12.093
540,7.418,12.579
541,7.402,12.677
542,7.57,12.668
543,7.634,12.561
544,7.691,12.399
545,7.803,13.073
546,7.875,12.974
547,7.899,13.037
548,7.699,12.866
549,7.979,12.848
550,7.955,12.938
551,7.891,13.055
552,7.971,12.938
553,7.899,13.118
554,8.019,13.378
555,8.1,13.198
556,8.124,13.369
557,8.26,13.136
558,8.396,12.857
559,8.34,12.803
560,8.38,12.83
561,8.22,12.668
562,8.068,12.803
563,8.06,12.399
564,8.035,12.489
565,7.899,12.39
566,8.019,12.435
567,7.763,12.974
568,7.835,13.073
569,7.715,13.252
570,7.779,13.064
571,8.22,13.657
572,8.268,13.567
573,8.356,13.477
574,8.332,13.423
575,8.934,13.163
576,8.902,12.812
577,8.749,12.893
578,8.701,12.875
579,8.605,12.92
580,8.501,12.848
581,8.428,13.1
582,8.653,13.252
583,8.661,13.414
584,8.581,13.369
585,8.693,13.163
586,8.773,13.297
587,8.861,12.938
588,8.677,12.605
589,8.525,12.543
590,8.581,12.417
591,8.348,12.345
592,8.284,12.3
593,8.244,12.641
594,8.092,12.462
595,8.019,11.932
596,8.043,11.545
597,8.22,11.428
598,8.164,11.68
599,7.899,11.366
600,7.578,11.446
601,7.466,11.554
602,7.699,11.491
603,7.61,11.68
604,7.779,10.889
605,8.06,10.988
606,8.14,10.728
607,8.3,10.827
608,8.132,10.512
609,8.092,10.332
610,8.003,10.431
611,7.995,10.476
612,7.466,10.44
613,7.29,10.539
614,7.298,10.8
615,7.314,10.719
616,7.346,10.907
617,7.554,10.818
618,7.715,10.907
619,7.683,11.132
620,7.979,11.216
621,8.023,11.078
622,7.965,11.115
623,8.097,10.967
624,8.097,10.673
625,7.99,10.783
626,8.113,10.645
627,8.056,10.663
628,7.611,10.608
629,7.677,10.663
630,7.611,10.709
631,7.636,10.737
632,7.513,10.608
633,7.323,10.378
634,7.389,9.945
635,7.422,9.973
636,7.323,9.402
637,6.887,9.347
638,6.64,9.135
639,6.665,9.089
640,6.492,8.536
641,6.895,8.223
642,6.723,8.426
643,6.83,9.264
644,6.509,9.347
645,6.509,9.402
646,6.739,9.356
647,7.373,9.199
648,7.323,8.969
649,7.332,8.389
650,7.364,8.527
651,7.257,8.472
652,7.167,8.242
653,6.821,8.103
654,6.813,8.426
655,6.821,8.426
656,6.583,8.306
657,6.533,8.555
658,6.92,8.822
659,6.764,8.73
660,6.673,8.895
661,6.92,8.859
662,7.085,8.822
663,6.937,8.684
664,7.159,8.444
665,7.208,8.407
666,7.15,8.37
667,7.142,8.61
668,7.142,8.674
669,7.126,8.822
670,7.109,8.61
671,7.307,8.656
672,7.332,8.674
673,7.488,8.435
674,7.307,8.315
675,7.373,8.361
676,7.183,8.269
677,6.937,8.463
678,6.871,8.518
679,7.019,8.591
680,6.904,8.481
681,7.101,8.297
682,7.118,8.343
683,7.2,8.417
684,7.134,8.334
685,6.961,8.288
686,6.788,8.177
687,6.805,8.251
688,6.756,8.278
689,6.698,8.205
690,6.665,8.324
691,6.69,8.205
692,6.69,8.149
693,6.797,7.91
694,6.673,7.652
695,6.764,7.542
696,6.739,7.505
697,6.706,7.505
698,6.575,7.008
699,6.533,7.173
700,6.55,7.965
701,6.484,7.928
702,6.55,8.214
703,6.451,8.14
704,6.591,8.103
705,6.961,8.122
706,6.879,8.039
707,7.06,8.564
708,7.044,8.601
709,7.019,8.518
710,7.044,9.098
711,6.994,9.236
712,7.389,9.08
713,7.348,9.052
714,7.29,9.485
715,7.521,9.568
716,7.578,9.549
717,7.48,9.743
718,7.447,9.798
719,7.702,9.54
720,7.759,9.347
721,7.595,9.19
722,7.652,9.19
723,7.611,9.328
724,7.554,8.877
725,7.241,9.273
726,7.282,9.549
727,7.323,9.393
728,7.109,9.347
729,7.414,9.374
730,7.504,9.844
731,7.43,9.743
732,7.406,9.604
733,7.513,9.623
734,7.677,9.853
735,7.447,10.313
736,7.323,10.433
737,7.323,10.424
738,7.364,10.553
739,7.603,11.05
740,7.603,11.234
741,7.554,11.833
742,7.595,11.722
743,7.908,11.538
